lat,lon,long_name
61.92410999999999,25.748151,Finland
60.47202399999999,8.468945999999999,Norway
56.26392,9.501785,Denmark
64.963051,-19.020835,Iceland
46.818188,8.227511999999999,Switzerland
52.132633,5.291265999999999,Netherlands
56.130366,-106.346771,Canada
-40.900557,174.885971,New Zealand
60.12816100000001,18.643501,Sweden
-25.274398,133.775136,Australia
55.378051,-3.435973,United Kingdom
47.516231,14.550072,Austria
9.748916999999999,-83.753428,Costa Rica
53.1423672,-7.692053599999999,Ireland
51.165691,10.451526,Germany
50.503887,4.469936,Belgium
49.815273,6.129582999999999,Luxembourg
37.09024,-95.712891,United States
31.046051,34.851612,Israel
23.424076,53.847818,United Arab Emirates
49.81749199999999,15.472962,Czechia
35.937496,14.375416,Malta
46.227638,2.213749,France
23.634501,-102.552784,Mexico
-35.675147,-71.542969,Chile
23.69781,120.960515,Taiwan
8.537981,-80.782127,Panama
-14.235004,-51.92528,Brazil
-38.416097,-63.61667199999999,Argentina
15.783471,-90.23075899999999,Guatemala
-32.522779,-55.765835,Uruguay
25.354826,51.183884,Qatar
23.885942,45.079162,Saudi Arabia
1.352083,103.819836,Singapore
4.210484,101.975766,Malaysia
40.46366700000001,-3.74922,Spain
4.570868,-74.297333,Colombia
10.691803,-61.222503,Trinidad and Tobago
48.669026,19.699024,Slovakia
13.794185,-88.89653,El Salvador
12.865416,-85.207229,Nicaragua
51.919438,19.145136,Poland
26.0667,50.5577,Bahrain
41.377491,64.585262,Uzbekistan
29.31166,47.481766,Kuwait
15.870032,100.992541,Thailand
41.87194,12.56738,Italy
-1.831239,-78.18340599999999,Ecuador
17.189877,-88.49765,Belize
55.169438,23.881275,Lithuania
46.151241,14.995463,Slovenia
45.943161,24.96676,Romania
56.879635,24.603189,Latvia
36.204824,138.252924,Japan
-20.348404,57.55215200000001,Mauritius
18.109581,-77.297508,Jamaica
35.907757,127.766922,South Korea
35.2480359,33.6577243,Northern Cyprus
61.52401,105.318756,Russia
48.019573,66.923684,Kazakhstan
35.126413,33.429859,Cyprus
-16.290154,-63.58865299999999,Bolivia
58.595272,25.013607,Estonia
-23.442503,-58.443832,Paraguay
-9.189967,-75.015152,Peru
42.6026359,20.902977,Kosovo
47.411631,28.369885,Moldova
38.969719,59.556278,Turkmenistan
47.162494,19.503304,Hungary
26.3351,17.228331,Libya
12.879721,121.774017,Philippines
15.199999,-86.241905,Honduras
53.709807,27.953389,Belarus
38.963745,35.243322,Türkiye
30.375321,69.34511599999999,Pakistan
22.3193039,114.1693611,Hong Kong
39.39987199999999,-8.224454,Portugal
44.016521,21.005859,Serbia
39.074208,21.824312,Greece
33.854721,35.862285,Lebanon
42.708678,19.37439,Montenegro
45.1,15.2,Croatia
18.735693,-70.162651,Dominican Republic
28.033886,1.659626,Algeria
31.791702,-7.092619999999999,Morocco
35.86166,104.195397,China
40.143105,47.576927,Azerbaijan
38.861034,71.276093,Tajikistan
41.608635,21.745275,North Macedonia
9.081999,8.675277,Nigeria
41.20438,74.766098,Kyrgyzstan
43.915886,17.679076,Bosnia and Herzegovina
46.862496,103.846656,Mongolia
14.058324,108.277199,Vietnam
-0.789275,113.921327,Indonesia
27.514162,90.433601,Bhutan
5.152149,46.199616,Somalia
7.369721999999999,12.354722,Cameroon
42.733883,25.48583,Bulgaria
28.394857,84.12400799999999,Nepal
6.42375,-66.58973,Venezuela
-0.803689,11.609444,Gabon
-30.559482,22.937506,South Africa
32.427908,53.688046,Iran
7.539988999999999,-5.547079999999999,Côte d'Ivoire
7.946527,-1.023194,Ghana
14.497401,-14.452362,Senegal
19.85627,102.495496,Laos
33.886917,9.537499,Tunisia
41.153332,20.168331,Albania
8.460555,-11.779889,Sierra Leone
-0.228021,15.827659,Republic of the Congo
23.684994,90.356331,Bangladesh
7.873053999999999,80.77179699999999,Sri Lanka
33.223191,43.679291,Iraq
17.570692,-3.996166,Mali
-22.95764,18.49041,Namibia
12.565679,104.990963,Cambodia
12.238333,-1.561593,Burkina Faso
26.820553,30.802498,Egypt
-18.665695,35.529562,Mozambique
-0.023559,37.906193,Kenya
-13.133897,27.849332,Zambia
21.00789,-10.940835,Mauritania
9.145000000000001,40.489673,Ethiopia
32.1656221,-82.9000751,Georgia
40.069099,45.038189,Armenia
21.916221,95.955974,Myanmar (Burma)
15.454166,18.732207,Chad
-4.038333,21.758664,Democratic Republic of the Congo
20.593684,78.96288,India
17.607789,8.081666,Niger
1.373333,32.290275,Uganda
9.30769,2.315834,Benin
12.862807,30.217636,Sudan
48.379433,31.16558,Ukraine
8.619543,0.824782,Togo
9.945587,-9.696645,Guinea
-29.609988,28.233608,Lesotho
-11.202692,17.873887,Angola
-18.766947,46.869107,Madagascar
-19.015438,29.154857,Zimbabwe
33.93911,67.709953,Afghanistan
-22.328474,24.684866,Botswana
-13.254308,34.301525,Malawi
18.971187,-72.285215,Haiti
6.428055,-9.429499000000002,Liberia
34.80207499999999,38.996815,Syria
-1.940278,29.873888,Rwanda
15.552727,48.516388,Yemen
-6.369028,34.888822,Tanzania
6.876991899999999,31.3069788,South Sudan
6.611110999999999,20.939444,Central African Republic
-3.373056,29.918886,Burundi
